"Country","Name","Url"
"CN","CCTV-15 (1080p)","https://xykt-fix.github.io/play/a02e/index.m3u8"
"CN","CCTV-15 (720p)","http://74.91.26.218:82/live/cctv15hd.m3u8"
"CN","Hebei TV (2160p)","https://event.pull.hebtv.com/live/live101.m3u8"
"CN","灞变笢浣撹偛 (1080p) [Geo-blocked]","http://livealone302.iqilu.com/iqilu/typd.m3u8"
"CN","灞辫タ鍗 (2160p)","http://118.81.195.79:9003/hls/19/index.m3u8"
"CN","骞胯タ鍗 (576p)","http://118.81.195.79:9003/hls/27/index.m3u8"
"CN","姹熻嫃浣撹偛 (576p)","http://183.207.248.71/gitv/live1/G_JSTY/G_JSTY"
"CN","姹熻嫃浣撹偛 (576p)","http://183.207.249.12/PLTV/4/224/3221225935/index.m3u8"
"CN","姹熻嫃浣撹偛 (576p)","http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225935/index.m3u8"
"CN","姹熻タ鍗 (1080p)","http://39.134.115.163:8080/PLTV/88888910/224/3221225705/index.m3u8"
"CN","姹熻タ鍗 (1080p)","http://39.134.115.163:8080/PLTV/88888910/224/3221225746/index.m3u8"
"CN","姹熻タ鍗 (1080p)","http://112.25.48.68/live/program/live/jxwshd/4000000/mnf.m3u8"
"CN","姹熻タ鍗 (1080p)","http://183.207.248.71/cntv/live1/jiangxistv/jiangxistv"
"CN","姹熻タ鍗 (1080p)","http://183.207.249.11/PLTV/3/224/3221225536/index.m3u8"
"CN","姹熻タ鍗 (1080p)","http://223.110.245.170/PLTV/3/224/3221225536/index.m3u8"
"CN","姹熻タ鍗 (1080p)","http://223.110.254.199:6610/cntv/live1/jiangxistv/jiangxistv/1.m3u8"
"CN","姹熻タ鍗 (720p)","http://117.169.120.140:8080/live/jiangxistv/.m3u8"
"CN","姹熻タ鍗 (576p)","http://183.207.248.71/gitv/live1/JXWS/JXWS"
"CN","姹熻タ鍗 (576p)","http://183.207.249.15/PLTV/4/224/3221225798/index.m3u8"
